Date_Time,LWC_Merged,LWC_Gerber,Vis_Rec,LWC_Calc
6/1/2009 09:00:00,0.040,0.040,,
6/1/2009 10:00:00,0.040,0.040,,
6/1/2009 11:00:00,0.020,0.020,,
6/1/2009 12:00:00,0.020,0.020,,
6/1/2009 13:00:00,0.020,0.020,,
6/1/2009 14:00:00,0.020,0.020,,
6/1/2009 15:00:00,0.020,0.020,,
6/1/2009 16:00:00,0.020,0.020,,
6/1/2009 17:00:00,0.020,0.020,,
6/1/2009 18:00:00,0.020,0.020,,
6/1/2009 19:00:00,0.020,0.020,,
6/1/2009 20:00:00,0.020,0.020,,
6/1/2009 21:00:00,0.020,0.020,,
6/1/2009 22:00:00,0.020,0.020,,
6/1/2009 23:00:00,0.020,0.020,,
6/2/2009 00:00:00,0.300,0.300,,
6/2/2009 01:00:00,0.770,0.770,,
6/2/2009 02:00:00,0.830,0.830,,
6/2/2009 03:00:00,0.830,0.830,,
6/2/2009 04:00:00,0.870,0.870,,
6/2/2009 05:00:00,0.990,0.990,,
6/2/2009 06:00:00,1.020,1.020,,
6/2/2009 07:00:00,0.930,0.930,,
6/2/2009 08:00:00,1.010,1.010,,
6/2/2009 09:00:00,0.610,0.610,,
6/2/2009 10:00:00,0.500,0.500,,
6/2/2009 11:00:00,0.270,0.270,,
6/2/2009 12:00:00,0.070,0.070,,
6/2/2009 13:00:00,0.020,0.020,,
6/2/2009 14:00:00,0.020,0.020,,
6/2/2009 15:00:00,0.020,0.020,,
6/2/2009 16:00:00,0.020,0.020,,
6/2/2009 17:00:00,0.020,0.020,,
6/2/2009 18:00:00,0.020,0.020,,
6/2/2009 19:00:00,0.020,0.020,,
6/2/2009 20:00:00,0.020,0.020,,
6/2/2009 21:00:00,0.020,0.020,,
6/2/2009 22:00:00,0.020,0.020,,
6/2/2009 23:00:00,0.020,0.020,,
6/3/2009 00:00:00,0.030,0.030,,
6/3/2009 01:00:00,0.040,0.040,,
6/3/2009 02:00:00,0.250,0.250,,
6/3/2009 03:00:00,0.310,0.310,,
6/3/2009 04:00:00,0.450,0.450,,
6/3/2009 05:00:00,0.430,0.430,,
6/3/2009 06:00:00,0.670,0.670,,
6/3/2009 07:00:00,0.690,0.690,,
6/3/2009 08:00:00,0.490,0.490,,
6/3/2009 09:00:00,0.220,0.220,,
6/3/2009 10:00:00,0.020,0.020,,
6/3/2009 11:00:00,0.020,0.020,,
6/3/2009 12:00:00,0.020,0.020,,
6/3/2009 13:00:00,0.020,0.020,,
6/3/2009 14:00:00,0.020,0.020,,
6/3/2009 15:00:00,0.020,0.020,,
6/3/2009 16:00:00,0.020,0.020,,
6/3/2009 17:00:00,0.020,0.020,,
6/3/2009 18:00:00,0.020,0.020,,
6/3/2009 19:00:00,0.020,0.020,,
6/3/2009 20:00:00,0.020,0.020,,
6/3/2009 21:00:00,0.020,0.020,,
6/3/2009 22:00:00,0.020,0.020,,
6/3/2009 23:00:00,0.020,0.020,,
6/4/2009 00:00:00,0.020,0.020,,
6/4/2009 01:00:00,0.020,0.020,,
6/4/2009 02:00:00,0.020,0.020,,
6/4/2009 03:00:00,0.050,0.050,,
6/4/2009 04:00:00,0.020,0.020,,
6/4/2009 05:00:00,0.020,0.020,,
6/4/2009 06:00:00,0.020,0.020,,
6/4/2009 07:00:00,0.020,0.020,,
6/4/2009 08:00:00,0.020,0.020,,
6/4/2009 09:00:00,0.020,0.020,,
6/4/2009 10:00:00,0.020,0.020,,
6/4/2009 11:00:00,0.010,0.010,,
6/4/2009 12:00:00,0.010,0.010,,
6/4/2009 13:00:00,0.010,0.010,,
6/4/2009 14:00:00,0.010,0.010,,
6/4/2009 15:00:00,0.010,0.010,,
6/4/2009 16:00:00,0.010,0.010,,
6/4/2009 17:00:00,0.010,0.010,,
6/4/2009 18:00:00,0.010,0.010,,
6/4/2009 19:00:00,0.010,0.010,,
6/4/2009 20:00:00,0.010,0.010,,
6/4/2009 21:00:00,0.010,0.010,,
6/4/2009 22:00:00,0.010,0.010,,
6/4/2009 23:00:00,0.010,0.010,,
6/5/2009 00:00:00,0.010,0.010,,
6/5/2009 01:00:00,0.010,0.010,,
6/5/2009 02:00:00,0.010,0.010,,
6/5/2009 03:00:00,0.010,0.010,,
6/5/2009 04:00:00,0.010,0.010,,
6/5/2009 05:00:00,0.010,0.010,,
6/5/2009 06:00:00,0.010,0.010,,
6/5/2009 07:00:00,0.010,0.010,,
6/5/2009 08:00:00,0.010,0.010,,
6/5/2009 09:00:00,0.010,0.010,,
6/5/2009 10:00:00,0.010,0.010,,
6/5/2009 11:00:00,0.010,0.010,,
6/5/2009 12:00:00,0.010,0.010,,
6/5/2009 13:00:00,0.010,0.010,,
6/5/2009 14:00:00,0.010,0.010,,
6/5/2009 15:00:00,0.010,0.010,,
6/5/2009 16:00:00,0.010,0.010,,
6/5/2009 17:00:00,0.010,0.010,,
6/5/2009 18:00:00,0.010,0.010,,
6/5/2009 19:00:00,0.010,0.010,,
6/5/2009 20:00:00,0.010,0.010,,
6/5/2009 21:00:00,0.010,0.010,,
6/5/2009 22:00:00,0.010,0.010,,
6/5/2009 23:00:00,0.010,0.010,,
6/6/2009 00:00:00,0.010,0.010,,
6/6/2009 01:00:00,0.010,0.010,,
6/6/2009 02:00:00,0.020,0.020,,
6/6/2009 03:00:00,0.010,0.010,,
6/6/2009 04:00:00,0.010,0.010,,
6/6/2009 05:00:00,0.050,0.050,,
6/6/2009 06:00:00,0.080,0.080,,
6/6/2009 07:00:00,0.030,0.030,,
6/6/2009 08:00:00,0.010,0.010,,
6/6/2009 09:00:00,0.010,0.010,,
6/6/2009 10:00:00,0.010,0.010,,
6/6/2009 11:00:00,0.010,0.010,,
6/6/2009 12:00:00,0.010,0.010,,
6/6/2009 13:00:00,0.010,0.010,,
6/6/2009 14:00:00,0.010,0.010,,
6/6/2009 15:00:00,0.010,0.010,,
6/6/2009 16:00:00,0.010,0.010,,
6/6/2009 17:00:00,0.010,0.010,,
6/6/2009 18:00:00,0.010,0.010,,
6/6/2009 19:00:00,0.010,0.010,,
6/6/2009 20:00:00,0.010,0.010,,
6/6/2009 21:00:00,0.010,0.010,,
6/6/2009 22:00:00,0.010,0.010,,
6/6/2009 23:00:00,0.010,0.010,,
6/7/2009 00:00:00,0.010,0.010,,
6/7/2009 01:00:00,0.010,0.010,,
6/7/2009 02:00:00,0.010,0.010,,
6/7/2009 03:00:00,0.010,0.010,,
6/7/2009 04:00:00,0.010,0.010,,
6/7/2009 05:00:00,0.010,0.010,,
6/7/2009 06:00:00,0.010,0.010,,
6/7/2009 07:00:00,0.010,0.010,,
6/7/2009 08:00:00,0.010,0.010,,
6/7/2009 09:00:00,0.010,0.010,,
6/7/2009 10:00:00,0.010,0.010,,
6/7/2009 11:00:00,0.010,0.010,,
6/7/2009 12:00:00,0.010,0.010,,
6/7/2009 13:00:00,0.010,0.010,,
6/7/2009 14:00:00,0.010,0.010,,
6/7/2009 15:00:00,0.120,0.120,,
6/7/2009 16:00:00,0.020,0.020,,
6/7/2009 17:00:00,0.110,0.110,,
6/7/2009 18:00:00,0.010,0.010,,
6/7/2009 19:00:00,0.010,0.010,,
6/7/2009 20:00:00,0.010,0.010,,
6/7/2009 21:00:00,0.010,0.010,,
6/7/2009 22:00:00,0.010,0.010,,
6/7/2009 23:00:00,0.010,0.010,,
6/8/2009 00:00:00,0.010,0.010,,
6/8/2009 01:00:00,0.010,0.010,,
6/8/2009 02:00:00,0.010,0.010,,
6/8/2009 03:00:00,0.010,0.010,,
6/8/2009 04:00:00,0.010,0.010,,
6/8/2009 05:00:00,0.010,0.010,,
6/8/2009 06:00:00,0.020,0.020,,
6/8/2009 07:00:00,0.010,0.010,,
6/8/2009 08:00:00,0.010,0.010,,
6/8/2009 09:00:00,0.010,0.010,,
6/8/2009 10:00:00,0.010,0.010,,
6/8/2009 11:00:00,0.010,0.010,,
6/8/2009 12:00:00,0.010,0.010,,
6/8/2009 13:00:00,0.010,0.010,,
6/8/2009 14:00:00,0.010,0.010,,
6/8/2009 15:00:00,0.010,0.010,,
6/8/2009 16:00:00,0.010,0.010,,
6/8/2009 17:00:00,0.010,0.010,,
6/8/2009 18:00:00,0.010,0.010,,
6/8/2009 19:00:00,0.010,0.010,,
6/8/2009 20:00:00,0.020,0.020,,
6/8/2009 21:00:00,0.030,0.030,,
6/8/2009 22:00:00,0.020,0.020,,
6/8/2009 23:00:00,0.030,0.030,,
6/9/2009 00:00:00,0.030,0.030,,
6/9/2009 01:00:00,0.030,0.030,,
6/9/2009 02:00:00,0.030,0.030,,
6/9/2009 03:00:00,0.070,0.070,,
6/9/2009 04:00:00,0.290,0.290,,
6/9/2009 05:00:00,0.390,0.390,,
6/9/2009 06:00:00,0.540,0.540,,
6/9/2009 07:00:00,0.670,0.670,,
6/9/2009 08:00:00,0.740,0.740,,
6/9/2009 09:00:00,0.860,0.860,,
6/9/2009 10:00:00,0.720,0.720,,
6/9/2009 11:00:00,0.870,0.870,,
6/9/2009 12:00:00,0.910,0.910,,
6/9/2009 13:00:00,0.700,0.700,,
6/9/2009 14:00:00,0.440,0.440,,
6/9/2009 15:00:00,0.330,0.330,,
6/9/2009 16:00:00,0.500,0.500,,
6/9/2009 17:00:00,0.680,0.680,,
6/9/2009 18:00:00,0.190,0.190,,
6/9/2009 19:00:00,0.070,0.070,,
6/9/2009 20:00:00,0.400,0.400,,
6/9/2009 21:00:00,0.640,0.640,,
6/9/2009 22:00:00,0.580,0.580,,
6/9/2009 23:00:00,0.750,0.750,,
6/10/2009 00:00:00,0.740,0.740,,
6/10/2009 01:00:00,0.740,0.740,,
6/10/2009 02:00:00,0.670,0.670,,
6/10/2009 03:00:00,0.640,0.640,,
6/10/2009 04:00:00,0.580,0.580,,
6/10/2009 05:00:00,0.530,0.530,,
6/10/2009 06:00:00,0.450,0.450,,
6/10/2009 07:00:00,0.390,0.390,,
6/10/2009 08:00:00,0.560,0.560,,
6/10/2009 09:00:00,0.350,0.350,,
6/10/2009 10:00:00,0.110,0.110,,
6/10/2009 11:00:00,0.020,0.020,,
6/10/2009 12:00:00,0.020,0.020,,
6/10/2009 13:00:00,0.020,0.020,,
6/10/2009 14:00:00,0.020,0.020,,
6/10/2009 15:00:00,0.020,0.020,,
6/10/2009 16:00:00,0.020,0.020,,
6/10/2009 17:00:00,0.020,0.020,,
6/10/2009 18:00:00,0.020,0.020,,
6/10/2009 19:00:00,0.020,0.020,,
6/10/2009 20:00:00,0.020,0.020,,
6/10/2009 21:00:00,0.250,0.250,,
6/10/2009 22:00:00,0.200,0.200,,
6/10/2009 23:00:00,0.040,0.040,,
6/11/2009 00:00:00,0.190,0.190,,
6/11/2009 01:00:00,0.160,0.160,,
6/11/2009 02:00:00,0.030,0.030,,
6/11/2009 03:00:00,0.040,0.040,,
6/11/2009 04:00:00,0.030,0.030,,
6/11/2009 05:00:00,0.170,0.170,,
6/11/2009 06:00:00,0.030,0.030,,
6/11/2009 07:00:00,0.020,0.020,,
6/11/2009 08:00:00,0.020,0.020,,
6/11/2009 09:00:00,0.020,0.020,,
6/11/2009 10:00:00,0.020,0.020,,
6/11/2009 11:00:00,,,,
6/11/2009 12:00:00,0.010,0.010,,
