Dump_DateTime,SampleID,LWC_avg,NumHrs
6/2/2009 03:00:00,09C3000,0.633,3
6/2/2009 06:00:00,09C3001,0.897,3
6/2/2009 09:00:00,09C3002,0.987,3
6/2/2009 12:00:00,09C3003,0.460,3
6/3/2009 03:00:00,09C3004,0.250,1
6/3/2009 06:00:00,09C3005,0.397,3
6/3/2009 09:00:00,09C3006,0.617,3
6/3/2009 12:00:00,09C3007,0.220,1
6/9/2009 09:00:00,09C3010,0.650,3
6/9/2009 12:00:00,09C3011,0.817,3
6/9/2009 15:00:00,09C3012,0.683,3
6/9/2009 18:00:00,09C3013,0.503,3
6/9/2009 21:00:00,09C3014,0.220,3
6/10/2009 00:00:00,09C3015,0.657,3
6/10/2009 03:00:00,09C3016,0.717,3
6/10/2009 06:00:00,09C3017,0.583,3
6/10/2009 09:00:00,09C3018,0.467,3
6/10/2009 12:00:00,09C3019,0.230,2
6/11/2009 00:00:00,09C3020,0.225,2
6/11/2009 03:00:00,09C3021,0.175,2
6/11/2009 08:00:00,09C3022,0.170,1
6/12/2009 09:00:00,09C3025,0.587,3
6/12/2009 13:00:00,09C3026,0.533,3
6/12/2009 15:00:00,09C3027,0.280,3
6/15/2009 15:00:00,09C3028,0.227,3
6/17/2009 03:00:00,09C3029,0.075,2
6/18/2009 09:00:00,09C3032,0.270,2
6/18/2009 12:00:00,09C3033,0.323,3
6/18/2009 15:00:00,09C3034,0.250,3
6/18/2009 18:00:00,09C3035,0.330,3
6/18/2009 21:00:00,09C3036,0.280,3
6/19/2009 00:00:00,09C3037,0.393,3
6/19/2009 03:00:00,09C3038,0.447,3
6/19/2009 06:00:00,09C3039,0.403,3
6/19/2009 09:00:00,09C3040,0.280,3
6/19/2009 15:00:00,09C3041,0.403,3
6/19/2009 19:00:00,09C3042,0.823,3
6/19/2009 21:00:00,09C3043,1.027,3
6/20/2009 00:00:00,09C3044,0.200,2
6/20/2009 04:00:00,09C3045,0.240,1
6/20/2009 13:00:00,09C3046,0.803,3
6/20/2009 15:00:00,09C3047,0.400,2
6/20/2009 18:00:00,09C3048,0.447,3
6/20/2009 21:00:00,09C3049,0.597,3
6/21/2009 00:00:00,09C3050,0.537,3
6/21/2009 03:00:00,09C3051,0.330,3
6/21/2009 06:00:00,09C3052,0.383,3
6/21/2009 09:00:00,09C3053,0.520,3
6/21/2009 12:00:00,09C3054,0.557,3
6/21/2009 15:00:00,09C3055,0.560,3
6/21/2009 18:00:00,09C3056,0.387,3
6/21/2009 21:00:00,09C3057,0.550,3
6/22/2009 00:00:00,09C3058,0.510,3
6/22/2009 03:00:00,09C3059,0.647,3
6/22/2009 06:00:00,09C3060,0.817,3
6/22/2009 09:00:00,09C3061,0.660,3
6/22/2009 12:00:00,09C3062,0.770,3
6/22/2009 15:00:00,09C3063,0.967,3
6/22/2009 18:00:00,09C3064,0.920,3
6/22/2009 21:00:00,09C3065,0.740,3
6/23/2009 00:00:00,09C3066,0.650,3
6/23/2009 03:00:00,09C3067,0.557,3
6/23/2009 06:00:00,09C3068,0.237,3
6/23/2009 09:00:00,09C3069,,0
6/24/2009 10:00:00,09C3070,0.270,3
6/24/2009 12:00:00,09C3071,0.190,2
6/26/2009 19:00:00,09C3074,0.090,1
6/27/2009 00:00:00,09C3075,0.330,3
6/27/2009 03:00:00,09C3076,0.593,3
6/27/2009 06:00:00,09C3077,0.487,3
6/27/2009 09:00:00,09C3078,0.423,3
6/27/2009 12:00:00,09C3079,0.760,3
6/27/2009 15:00:00,09C3080,0.593,3
6/27/2009 18:00:00,09C3081,0.343,3
6/27/2009 21:00:00,09C3082,0.387,3
6/28/2009 00:00:00,09C3083,0.455,2
6/28/2009 03:00:00,09C3084,0.170,2
6/29/2009 00:00:00,09C3085,0.323,3
6/29/2009 06:00:00,09C3086,0.267,3
6/29/2009 09:00:00,09C3087,0.277,3
6/29/2009 12:00:00,09C3088,0.817,3
6/29/2009 15:00:00,09C3089,0.577,3
6/29/2009 18:00:00,09C3090,0.165,2
6/30/2009 20:00:00,09C3091,0.150,1
7/1/2009 04:00:00,09C3092,0.243,3
7/1/2009 06:00:00,09C3093,0.183,3
7/2/2009 00:00:00,09C3094,0.227,3
7/2/2009 03:00:00,09C3095,0.397,3
7/2/2009 06:00:00,09C3096,0.235,2
7/2/2009 13:00:00,09C3099,0.613,3
7/2/2009 15:00:00,09C3100,0.737,3
7/2/2009 18:00:00,09C3101,0.527,3
7/2/2009 21:00:00,09C3102,0.533,3
7/3/2009 00:00:00,09C3103,0.730,3
7/3/2009 03:00:00,09C3104,0.830,3
7/3/2009 06:00:00,09C3105,0.940,3
7/3/2009 09:00:00,09C3106,0.923,3
7/3/2009 12:00:00,09C3107,0.810,3
7/3/2009 15:00:00,09C3108,0.563,3
7/3/2009 18:00:00,09C3109,0.657,3
7/3/2009 22:00:00,09C3110,0.710,3
7/4/2009 00:00:00,09C3111,0.807,3
7/4/2009 07:00:00,09C3112,0.840,3
7/4/2009 09:00:00,09C3113,0.780,3
7/4/2009 12:00:00,09C3114,0.647,3
7/4/2009 15:00:00,09C3115,0.550,3
7/4/2009 18:00:00,09C3116,0.733,3
7/4/2009 21:00:00,09C3117,0.707,3
7/5/2009 00:00:00,09C3118,0.437,3
7/5/2009 03:00:00,09C3119,0.147,3
7/5/2009 06:00:00,09C3120,0.650,3
7/5/2009 09:00:00,09C3121,0.340,2
7/8/2009 03:00:00,09C3122,0.360,3
7/8/2009 06:00:00,09C3123,0.253,3
7/8/2009 15:00:00,09C3124,0.143,3
7/8/2009 18:00:00,09C3125,0.240,2
7/9/2009 09:00:00,09C3126,0.143,3
7/11/2009 09:00:00,09C3129,0.080,3
7/11/2009 17:00:00,09C3130,0.387,3
7/11/2009 21:00:00,09C3131,0.477,3
7/12/2009 06:00:00,09C3132,0.347,3
7/12/2009 09:00:00,09C3133,0.490,3
7/12/2009 12:00:00,09C3134,0.330,1
7/13/2009 20:00:00,09C3135,0.433,3
7/13/2009 21:00:00,09C3136,0.363,3
7/14/2009 00:00:00,09C3137,0.083,3
7/14/2009 03:00:00,09C3138,0.200,3
7/14/2009 06:00:00,09C3139,0.473,3
7/14/2009 09:00:00,09C3140,0.500,3
7/14/2009 12:00:00,09C3141,0.627,3
7/14/2009 15:00:00,09C3142,0.380,3
7/14/2009 18:00:00,09C3143,0.300,3
7/14/2009 21:00:00,09C3144,0.493,3
7/15/2009 00:00:00,09C3145,0.370,3
7/15/2009 03:00:00,09C3146,0.537,3
7/15/2009 06:00:00,09C3147,0.527,3
7/15/2009 09:00:00,09C3148,0.095,2
7/15/2009 12:00:00,09C3149,0.095,2
7/16/2009 10:00:00,09C3152,,0
7/16/2009 14:00:00,09C3150,0.477,3
7/16/2009 15:00:00,09C3151,0.515,2
7/17/2009 12:00:00,09C3153,0.300,2
7/17/2009 21:00:00,09C3154,0.130,1
7/18/2009 06:00:00,09C3155,0.823,3
7/18/2009 09:00:00,09C3156,0.840,3
7/18/2009 12:00:00,09C3157,0.547,3
7/18/2009 15:00:00,09C3158,0.060,1
7/19/2009 03:00:00,09C3159,0.503,3
7/19/2009 06:00:00,09C3160,0.720,3
7/19/2009 09:00:00,09C3161,0.753,3
7/19/2009 12:00:00,09C3162,0.340,3
7/19/2009 15:00:00,09C3163,0.140,1
7/20/2009 01:00:00,09C3164,0.230,3
7/20/2009 03:00:00,09C3165,0.120,1
7/21/2009 18:00:00,09C3166,0.173,3
7/21/2009 21:00:00,09C3167,0.355,2
7/22/2009 00:00:00,09C3168,0.477,3
7/22/2009 03:00:00,09C3169,0.520,3
7/22/2009 06:00:00,09C3170,0.550,3
7/22/2009 16:00:00,09C3171,0.173,3
7/23/2009 05:00:00,09C3172,0.110,2
